Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
drain cleaning,Phrase match,Enabled,Enabled,Enabled,$100.53,8,5.41%
clogged drain,Phrase match,Enabled,Enabled,Enabled,$22.24,2,3.45%
clogged drain repair,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
drain cleaning service near me,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
drain cleaning near me,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
drain service near me,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
