Gender,Age Range,Impressions,Percent of known total
Male,18-24,2,1.45%
Male,25-34,16,11.59%
Male,35-44,11,7.97%
Male,45-54,13,9.42%
Male,55-64,13,9.42%
Male,65+,10,7.25%
Female,18-24,3,2.17%
Female,25-34,7,5.07%
Female,35-44,12,8.70%
Female,45-54,9,6.52%
Female,55-64,12,8.70%
Female,65+,30,21.74%
