Start Hour,Impressions
12 AM,0
1 AM,0
2 AM,0
3 AM,0
4 AM,0
5 AM,0
6 AM,9
7 AM,6
8 AM,13
9 AM,17
10 AM,6
11 AM,10
12 PM,10
1 PM,9
2 PM,14
3 PM,15
4 PM,10
5 PM,21
6 PM,17
7 PM,18
8 PM,20
9 PM,15
10 PM,0
11 PM,0
